site,date,variable,value
river,2023-01-05,temperature,4.057142857142857
river,2023-01-06,temperature,4.214285714285714
river,2023-01-07,temperature,4.371428571428572
river,2023-01-08,temperature,4.5285714285714285
river,2023-01-09,temperature,4.685714285714286
river,2023-01-10,temperature,4.842857142857143
river,2023-01-11,temperature,5.0
river,2023-01-12,temperature,5.371428571428571
river,2023-01-13,temperature,5.742857142857143
river,2023-01-14,temperature,6.114285714285714
river,2023-01-15,temperature,6.485714285714286
river,2023-01-16,temperature,6.857142857142857
river,2023-01-17,temperature,7.228571428571428
river,2023-01-18,temperature,7.6
river,2023-01-19,temperature,7.414285714285714
river,2023-01-20,temperature,7.228571428571429
river,2023-01-21,temperature,7.042857142857143
river,2023-01-22,temperature,6.857142857142857
river,2023-01-23,temperature,6.671428571428571
river,2023-01-24,temperature,6.485714285714286
river,2023-01-25,temperature,6.3
river,2023-01-26,temperature,5.957142857142857
river,2023-01-27,temperature,5.614285714285714
river,2023-01-28,temperature,5.271428571428571
river,2023-01-29,temperature,4.928571428571429
river,2023-01-30,temperature,4.585714285714285
river,2023-01-31,temperature,4.242857142857143
river,2023-02-01,temperature,3.9
river,2023-02-02,temperature,4.4714285714285715
river,2023-02-03,temperature,5.042857142857143
river,2023-02-04,temperature,5.614285714285714
river,2023-02-05,temperature,6.185714285714285
river,2023-02-06,temperature,6.757142857142856
river,2023-02-07,temperature,7.328571428571428
river,2023-02-08,temperature,7.9
